Image,Class,Parent,X,Y,Layer,Nearest_Distance
A22-312CD34NEUN.svs,Neuron,Layer2,4865.1,1320.5,Layer2,54.41268234520349
A22-312CD34NEUN.svs,Neuron,Layer2,4909.6,1318.2,Layer2,61.41213235184018
A22-312CD34NEUN.svs,Neuron,Layer2,4777.0,1324.7,Layer2,33.80724774364237
A22-312CD34NEUN.svs,Neuron,Layer2,4913.6,1327.9,Layer2,61.91897931975253
A22-312CD34NEUN.svs,Neuron,Layer2,4992.9,1326.7,Layer2,39.351365922925574
A22-312CD34NEUN.svs,Neuron,Layer2,4938.7,1332.1,Layer2,45.29116911716883
A22-312CD34NEUN.svs,Neuron,Layer2,4719.5,1341.4,Layer2,19.58877229435299
A22-312CD34NEUN.svs,Neuron,Layer2,4817.9,1345.9,Layer2,23.022163234587584
A22-312CD34NEUN.svs,Neuron,Layer2,4777.0,1342.9,Layer2,38.72531471789501
A22-312CD34NEUN.svs,Neuron,Layer2,4857.9,1347.3,Layer2,37.419246384715024
A22-312CD34NEUN.svs,Neuron,Layer2,4931.2,1348.4,Layer2,62.83510165504628
A22-312CD34NEUN.svs,Neuron,Layer2,4950.0,1348.5,Layer2,54.391175754895976
A22-312CD34NEUN.svs,Neuron,Layer2,4789.7,1348.3,Layer2,32.182293268193504
A22-312CD34NEUN.svs,Neuron,Layer2,4750.3,1349.9,Layer2,13.200378782443904
A22-312CD34NEUN.svs,Neuron,Layer2,4768.0,1360.1,Layer2,32.508768048020144
A22-312CD34NEUN.svs,Neuron,Layer2,4828.6,1366.1,Layer2,35.724081513735314
A22-312CD34NEUN.svs,Neuron,Layer2,4800.0,1365.2,Layer2,42.5920180315515
A22-312CD34NEUN.svs,Neuron,Layer2,4856.0,1372.0,Layer2,13.07287267588893
A22-312CD34NEUN.svs,Neuron,Layer2,4787.4,1376.3,Layer2,56.76072585864212
A22-312CD34NEUN.svs,Neuron,Layer2,4645.4,1374.3,Layer2,17.200290695218644
A22-312CD34NEUN.svs,Neuron,Layer2,4888.8,1378.9,Layer2,30.26103104654547
A22-312CD34NEUN.svs,Neuron,Layer2,4776.6,1385.9,Layer2,53.37658662747185
A22-312CD34NEUN.svs,Neuron,Layer2,4836.8,1387.5,Layer2,22.4750973301565
A22-312CD34NEUN.svs,Neuron,Layer2,4859.2,1398.8,Layer2,14.100354605469938
A22-312CD34NEUN.svs,Neuron,Layer2,4776.9,1405.9,Layer2,67.58831259914665
A22-312CD34NEUN.svs,Neuron,Layer2,4637.3,1413.6,Layer2,44.15891755919755
A22-312CD34NEUN.svs,Neuron,Layer2,4596.7,1414.6,Layer2,53.80752735445107
A22-312CD34NEUN.svs,Neuron,Layer2,4751.4,1425.5,Layer2,35.44925951271741
A22-312CD34NEUN.svs,Neuron,Layer2,4605.5,1432.2,Layer2,34.722471110218876
A22-312CD34NEUN.svs,Neuron,Layer2,4665.2,1439.9,Layer2,17.12308383440294
A22-312CD34NEUN.svs,Neuron,Layer2,4793.7,1440.9,Layer2,71.65430901208941
A22-312CD34NEUN.svs,Neuron,Layer2,4757.4,1456.4,Layer2,36.819560019098425
A22-312CD34NEUN.svs,Neuron,Layer2,4634.5,1467.4,Layer2,11.363538181394274
A22-312CD34NEUN.svs,Neuron,Layer2,4546.7,1466.2,Layer2,48.93597858426879
A22-312CD34NEUN.svs,Neuron,Layer2,4530.5,1471.6,Layer2,52.59515186782903
A22-312CD34NEUN.svs,Neuron,Layer2,4595.2,1473.2,Layer2,16.633700730745296
A22-312CD34NEUN.svs,Neuron,Layer2,4609.0,1474.3,Layer2,24.022697600394533
A22-312CD34NEUN.svs,Neuron,Layer2,4549.1,1477.6,Layer2,42.45903908474581
A22-312CD34NEUN.svs,Neuron,Layer2,4579.5,1478.8,Layer2,14.638647478507053
A22-312CD34NEUN.svs,Neuron,Layer2,4515.6,1486.1,Layer2,34.14395993437206
A22-312CD34NEUN.svs,Neuron,Layer2,4674.5,1486.4,Layer2,34.57311093899406
A22-312CD34NEUN.svs,Neuron,Layer2,4663.4,1510.1,Layer2,27.093357119411557
A22-312CD34NEUN.svs,Neuron,Layer2,4664.9,1521.7,Layer2,34.39185950192238
A22-312CD34NEUN.svs,Neuron,Layer2,4489.0,1524.4,Layer2,20.567936211491947
A22-312CD34NEUN.svs,Neuron,Layer2,4521.2,1525.8,Layer2,13.68502831564466
A22-312CD34NEUN.svs,Neuron,Layer2,4540.6,1534.3,Layer2,34.851829220286625
A22-312CD34NEUN.svs,Neuron,Layer2,4542.6,1548.4,Layer2,29.080061898145644
A22-312CD34NEUN.svs,Neuron,Layer2,4544.3,1557.0,Layer2,20.330272993739964
A22-312CD34NEUN.svs,Neuron,Layer2,4611.7,1558.6,Layer2,46.726651923715
A22-312CD34NEUN.svs,Neuron,Layer2,4574.7,1574.9,Layer2,25.057733337235423
A22-312CD34NEUN.svs,Neuron,Layer2,4563.3,1585.7,Layer2,16.36367929287336
A22-312CD34NEUN.svs,Neuron,Layer2,4577.6,1592.1,Layer2,23.73204584522806
A22-312CD34NEUN.svs,Neuron,Layer2,4546.4,1616.5,Layer2,22.675316976836367
A22-312CD34NEUN.svs,Neuron,Layer2,4490.8,1625.0,Layer2,20.966878642277702
A22-312CD34NEUN.svs,Neuron,Layer2,4492.1,1680.2,Layer2,10.043903623591918
A22-312CD34NEUN.svs,Neuron,Layer2,5492.2,1049.7,Layer2,32.36000618046875
